datasize   searchradius   distcalculation   searchtime   searchresults   avgpeakworkingsetsize   peakworkingsetsize   avgpeekmemoryUseSize   peekmemoryUseSize   
1000              0            6.5           0.0124801              1             8.02187             8.02734             269.963             269.969
1000           0.25          171.5           0.0624004              1             8.03516             8.03516             269.977             269.977
1000            0.5          609.4            0.126361              1             8.03516             8.03516             269.977             269.977
1000           0.75            862            0.143521              1             8.03516             8.03516             269.977             269.977
1000              1          906.8            0.145081            1.4             8.03516             8.03516             269.977             269.977
1000           1.25            933            0.109201           15.4             8.03516             8.03516             269.977             269.977
1000            1.5          933.4           0.0982806          127.3             8.03516             8.03516             269.977             269.977
1000           1.75          955.6            0.165361          453.4             8.03516             8.03516             269.977             269.977
1000              2           1000            0.212161            828             7.97422             8.03516             269.855             269.977
